Mass,Teff,Luminosity,logg,Radius,Mv,Mr,Mi,Mj,Mh,Mk,Mll,Mm
0.002,177.5,-8.065,3.6799999999999997,0.107,52.22,47.269999999999996,43.010000000000005,33.72,31.160000000000004,46.965,21.755,19.37
0.003,216.0,-7.705,3.8475,0.108,46.480000000000004,41.875,38.18,30.125,28.725,41.86,20.53,18.235
0.004,248.5,-7.449,3.9720000000000004,0.108,41.65,37.364999999999995,34.18,27.314999999999998,26.715,37.7,19.595,17.325000000000003
0.005,281.0,-7.237500000000001,4.073,0.1075,39.04,34.855000000000004,31.83,25.77,25.41,34.995000000000005,18.93,16.759999999999998
0.006,310.5,-7.0665,4.157,0.107,36.620000000000005,32.53,29.65,24.380000000000003,24.205,32.53,18.325000000000003,16.25
0.007,334.0,-6.942,4.231,0.106,34.53,30.54,27.814999999999998,23.215,23.215,30.5,17.85,15.82
0.008,361.0,-6.817,4.295,0.1055,32.84,28.939999999999998,26.33,22.215,22.37,28.71,17.41,15.43
0.009,382.5,-6.7245,4.3535,0.1045,31.394999999999996,27.58,25.075,21.4,21.67,27.245,17.055,15.11
0.01,406.5,-6.625,4.406000000000001,0.10400000000000001,30.894999999999996,27.009999999999998,24.475,20.985,21.185000000000002,26.195,16.78,14.91
0.012,469.5,-6.389,4.493,0.10300000000000001,29.835,25.805,23.235,19.96,20.1,24.009999999999998,16.145,14.46
0.015,513.5,-6.253,4.6105,0.1005,29.03,24.91,22.36,19.275,19.380000000000003,22.53,15.760000000000002,14.175
0.02,619.5,-5.9575,4.760999999999999,0.0975,28.275,24.01,21.355,18.225,18.235,20.25,14.95,13.625
0.03,809.5,-5.5395,4.9795,0.093,27.285,22.895,20.16,16.72,16.735,17.59,13.855,12.93
0.04,1015.5,-5.183,5.139,0.089,26.384999999999998,22.07,19.265,15.54,15.575,15.945,13.025,12.465
0.05,1237.0,-4.8635,5.2620000000000005,0.087,25.41,21.22,18.485,14.575,14.585,14.709999999999999,12.315000000000001,12.08
0.06,1460.5,-4.582,5.3545,0.08549999999999999,24.285,20.310000000000002,17.65,13.785,13.745000000000001,13.71,11.75,11.765
0.07,1803.0,-4.1665,5.3995,0.0875,22.384999999999998,18.835,16.235,12.725,12.559999999999999,12.434999999999999,10.96,11.309999999999999
0.072,1926.0,-4.0249999999999995,5.394500000000001,0.089,21.615000000000002,18.205,15.68,12.385000000000002,12.165,12.035,10.695,11.145
0.075,2120.0,-3.8105,5.3725,0.0935,20.310000000000002,17.215,14.775,11.899999999999999,11.585,11.399999999999999,10.309999999999999,10.82
0.08,2351.5,-3.5650000000000004,5.338,0.1005,18.89,16.12,13.75,11.35,10.98,10.725000000000001,9.905000000000001,10.35
0.09,2624.5,-3.2714999999999996,5.287,0.113,17.0,14.870000000000001,12.684999999999999,10.725000000000001,10.305,10.035,9.41,9.725000000000001
0.1,2784.5,-3.083,5.2465,0.125,15.855,14.09,12.09,10.33,9.89,9.62,9.07,9.31
